,LoadCount,MineNo
0,35323,004200
1,20329,001735
2,14690,003514
3,14258,004143
4,13791,003958
5,13411,008550
6,13117,002313
7,13092,003693
8,12896,003811
9,12893,003505
10,12373,003817
11,12181,003702
12,11916,003635
13,11912,003462
14,11872,003731
15,11779,003709
16,11702,003721
17,11427,003396
18,11272,003914
19,11005,008542
20,10796,003570
21,10609,003217
22,10517,003290
23,10496,003382
24,10491,003789
25,10402,003677
26,10365,003893
27,10315,003701
28,10204,008600
29,10156,003991
30,10103,008540
31,9694,003196
32,9389,003995
33,9317,003516
34,9233,003640
35,8920,003259
36,8801,003884
37,8793,003859
38,8500,008547
39,8255,003816
40,8146,003016
41,8035,008549
42,8031,004155
43,8029,008541
44,7916,003986
45,7713,003833
46,7163,003531
47,7109,002265
48,6982,003416
49,6744,003422
50,6627,003538
51,6626,003771
52,6534,003426
53,6325,008594
54,6206,002495
55,6153,004018
56,5961,002355
57,5870,003906
58,5812,004043
59,5705,003694
60,5572,003748
61,5494,001145
62,5292,003486
63,5259,003197
64,5008,003302
65,4964,003373
66,4950,003975
67,4943,003213
68,4928,004250
69,4914,003301
70,4827,003767
71,4763,003503
72,4593,008528
73,4440,001147
74,4422,003536
75,4203,003321
76,3979,003930
77,3970,003297
78,3694,003598
79,3676,003313
80,3326,003682
81,3100,003280
82,2853,003568
83,2699,008629
84,2479,003761
85,2198,008527
86,2167,003458
87,2058,003401
88,2034,003484
89,1694,003250
90,1664,001199
91,1481,003460
92,1405,004199
93,1313,003671
94,1247,002120
95,1214,003381
96,1204,003959
97,1194,001146
98,1151,004471
99,1005,003470
100,922,003569
101,901,
102,608,003336
103,515,003260
104,490,008534
105,468,003407
106,450,004162
107,449,008570
108,379,003714
109,366,001080
110,362,003788
111,353,004874
112,348,004472
113,325,004016
114,288,003256
115,248,003858
116,242,003754
117,230,001193
118,224,003398
119,189,003988
120,185,003293
121,165,003798
122,156,003577
123,155,004095
124,146,003675
125,137,003623
126,129,003533
127,114,003471
128,111,003257
129,107,003195
130,104,003848
131,103,003264
132,92,003345
133,92,003472
134,87,004206
135,86,008537
136,82,003271
137,71,003977
138,69,003656
139,68,008896
140,67,003854
141,66,005000
142,64,006549
143,58,003672
144,54,003619
145,49,003351
146,45,003956
147,42,003430
148,41,008545
149,38,003532
150,35,001593
151,33,003829
152,30,003507
153,29,004056
154,26,003928
155,25,004502
156,22,003638
157,22,002170
158,21,008557
159,20,001661
160,20,008876
161,19,003547
162,18,004588
163,17,009039
164,14,002357
165,14,003766
166,14,001952
167,14,003209
168,13,001258
169,12,003849
170,11,003703
171,11,008520
172,11,003433
173,10,001995
174,10,003782
175,9,003992
176,9,008667
177,9,003388
178,8,004152
179,7,003708
180,5,003315
181,4,003668
182,4,004405
183,4,003335
184,4,002243
185,3,004057
186,3,003794
187,3,001534
188,3,003466
189,3,002893
190,2,003757
191,2,003303
192,2,005609
193,2,001950
194,1,003737
195,1,004467
196,1,003945
197,1,002356
198,1,009024
199,1,004259
200,1,002937
201,1,003936
202,1,004356
203,1,004463
